Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100
tas,MRI-CGCM3,historical/RCP2.6,r1i1p1,6.743531290690127,NA,NA,NA
tas,MRI-CGCM3,historical/RCP4.5,r1i1p1,6.768917422824458,NA,NA,NA
tas,MRI-CGCM3,historical/RCP6.0,r1i1p1,6.826494598388694,NA,NA,NA
tas,MRI-CGCM3,historical/RCP8.5,r1i1p1,6.766971503363738,NA,NA,NA
tas,MRI-CGCM3,RCP2.6,r1i1p1,NA,7.46499438815649,7.887221357557531,8.268124643961611
tas,MRI-CGCM3,RCP4.5,r1i1p1,NA,7.220511542426238,8.37559043036569,8.782713402642166
tas,MRI-CGCM3,RCP6.0,r1i1p1,NA,7.347343529595292,8.134720442030188,9.24113421969946
tas,MRI-CGCM3,RCP8.5,r1i1p1,NA,7.393661838107661,9.008203718397375,10.518610551622201
tas,MRI-ESM1,historical/RCP8.5,r1i1p1,7.003523169623503,NA,NA,NA
tas,MRI-ESM1,RCP8.5,r1i1p1,NA,7.952305348714216,9.129276021321637,10.923054673936655
tas,NorESM1-M,historical/RCP2.6,r1i1p1,5.965741136338998,NA,NA,NA
tas,NorESM1-M,historical/RCP4.5,r1i1p1,5.913413068983313,NA,NA,NA
tas,NorESM1-M,historical/RCP6.0,r1i1p1,6.048462677001976,NA,NA,NA
tas,NorESM1-M,historical/RCP8.5,r1i1p1,5.947031063503712,NA,NA,NA
tas,NorESM1-M,RCP2.6,r1i1p1,NA,7.100441021389454,7.921625603569901,7.956272549099415
tas,NorESM1-M,RCP4.5,r1i1p1,NA,7.4339936150445105,8.607175106472463,9.290615081787132
tas,NorESM1-M,RCP6.0,r1i1p1,NA,7.135672293769011,7.8475469801161255,9.702125718858529
tas,NorESM1-M,RCP8.5,r1i1p1,NA,7.685275014241559,9.302504814995682,11.718913099500892
tas,NorESM1-ME,historical/RCP2.6,r1i1p1,5.895840538872636,NA,NA,NA
tas,NorESM1-ME,historical/RCP4.5,r1i1p1,6.0413951449924275,NA,NA,NA
tas,NorESM1-ME,historical/RCP6.0,r1i1p1,5.9825952317979825,NA,NA,NA
tas,NorESM1-ME,historical/RCP8.5,r1i1p1,5.994652133517818,NA,NA,NA
tas,NorESM1-ME,RCP2.6,r1i1p1,NA,6.897912512885222,7.918182457817948,8.09897164238826
tas,NorESM1-ME,RCP4.5,r1i1p1,NA,7.267674594455318,8.572680579291472,9.4229437934028
tas,NorESM1-ME,RCP6.0,r1i1p1,NA,7.3572518242730265,8.1532051086426,10.245559522840734
tas,NorESM1-ME,RCP8.5,r1i1p1,NA,7.659507497151716,9.839495425754146,11.640501658121767
